country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
norway,Western Europe,1910,1810.66,3.83221,32.84467,23.01246,3.603595150295869,945,2389,7809.608764620418,7833.037397167716,0.3955629970699037
norway,Western Europe,1920,2259.38,3.93762,32.81385,22.87623,3.646212654570251,1072,2651,11072.612003375823,10552.197955213915,0.4043757072802716
norway,Western Europe,1930,2876.44,4.12727,33.31264,23.18538,3.7443086732676973,1165,2814,13942.618505563667,13644.013385518254,0.414001421464108
norway,Western Europe,1946,3297.66,4.21813,35.93534,25.71722,3.927762793309148,1385,3160,17022.138136484016,16478.342871463617,0.43829113924050633
norway,Western Europe,1960,5610,4.47983,37.7923,27.31248,4.113400258596212,1405,3591,21648.381530266022,23475.13710328404,0.391255917571707
norway,Western Europe,1970,8034,5.09322,40.19693,29.10372,4.455458617193458,1461,3887,48370.90239692619,44179.394051751464,0.3758682788783123
norway,Western Europe,1980,12141,7.51112,39.76422,26.25311,5.516220865442002,2041,4091,55868.54542089986,54176.50484215471,0.49890002444390125
norway,Western Europe,1990,14902,9.30254,39.90337,24.60084,6.18837789592387,2101,4242,71646.95996366341,69894.20339231144,0.4952852428099953
norway,Western Europe,2000,20456.23,10.67565,43.50158,26.82593,7.001231064851593,2261.038,4481,76616.86972280187,82463.12075957342,0.5045833519303727
portugal,Southern Europe,1849,623.2645,0.0372,33.91824,27.88104,2.318568107287042,1805.782,3811,1498.8356801949367,1498.8356801949367,0.4738341642613487
portugal,Southern Europe,1864,617.5985,0.16892,29.7844,23.61547,2.228253066010182,1984.892,4189,1484.9685985133,1485.0430767414225,0.4738343280019098
portugal,Southern Europe,1875,614.7655,0.37182,30.72273,24.35091,2.3166387025638735,2155.656,4550,1451.2413336878124,1462.4790587057219,0.4737705494505494
portugal,Southern Europe,1890,695.2233,0.58408,30.75597,24.17189,2.376857649587969,2404,5062,1481.1665407310218,1526.4432492888523,0.4749111023310944
portugal,Southern Europe,1900,797.7786,0.89688,30.19621,23.29933,2.443661184127432,2349,5422,1756.5654741253256,1821.4702137691243,0.433234968646256
portugal,Southern Europe,1911,767.182,1.03608,30.17945,23.14337,2.4830816758391623,2545,5957,2074.7562655579413,1947.575568338097,0.4272284707067316
portugal,Southern Europe,1920,817.0432,1.27333,30.26719,22.99387,2.556705715673605,3242,6032,1681.6414164005544,1666.0302323226138,0.5374668435013262
portugal,Southern Europe,1930,870.304,1.47325,30.87541,23.40216,2.644442320054099,3950,6825,1470.9946762672403,1541.3241298866528,0.5787545787545788
portugal,Southern Europe,1940,967.1932,1.67766,31.29922,23.62155,2.727782478003959,3049,7720,2285.7719624050137,2372.396875709598,0.3949481865284974
portugal,Southern Europe,1950,1208,2.00695,32.27131,24.26435,2.8802756460444385,3289,8474,2662.5538038562613,2787.4553851978835,0.3881283927307057
portugal,Southern Europe,1960,1869,2.33925,34.95023,26.61098,3.1111797652584356,3369,8296,5626.15732248618,5145.34001229886,0.406099324975892
portugal,Southern Europe,1970,3306,3.37415,37.72979,28.35564,3.643373360960785,3305,8606,11257.755108741514,10826.463923689009,0.3840343946084127
portugal,Southern Europe,1980,4982,5.75881,37.67175,25.91294,4.601093533882215,3849,9909,18731.62203319867,18011.379100639555,0.3884347562821677
portugal,Southern Europe,1990,7478,7.32877,38.2109,24.88213,5.314755452941429,4678,9868,32501.73592754218,29140.240030464505,0.47405755978921765
portugal,Southern Europe,2000,11602.86,8.57818,42.36314,27.78496,6.136588691135301,5100,10048,42210.215420486,42214.473956418035,0.5075636942675159
spain,Southern Europe,1857,1910.792,0.19938,30.3515,24.15212,2.2567354999852225,6532,14779,5403.843864064747,5403.843864064747,0.44197848298261044
spain,Southern Europe,1910,1813.871,2.18624,31.36087,23.17463,2.898391708852499,7497,19892,5736.8431618296,5736.934338493716,0.376885179971848
spain,Southern Europe,1920,2044.738,2.09709,31.39849,23.3014,2.8701405479970155,8093,21459,5320.979222473621,5776.822264494893,0.3771377976606552
spain,Southern Europe,1930,2372.904,2.10362,31.84359,23.73997,2.893607518578686,9220,23840,5664.998907138535,5990.325548220151,0.38674496644295303
spain,Southern Europe,1940,1744.349,2.29809,32.19854,23.90045,2.977708366049019,10793,25882,7696.369397874883,5508.854467111806,0.4170079591994436
spain,Southern Europe,1950,1913,2.51881,33.22574,24.70693,3.1056126291573687,12062,27979,4480.847542830758,5037.710595377619,0.431109046070267
spain,Southern Europe,1960,3123,2.7472,34.90478,26.15758,3.26732628302619,11909,30529,8336.880658765122,8541.162995385872,0.3900881129417931
